Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,3
4,2,3,1,1,-0.6520010725473451,0.6516732849078336,2
4,1,5,1,1,-1.432728758291361,1.8566005509907115,1
4,2,5,1,2,-0.22183980962090738,1.9029050541568877,2
4,3,5,4,2,1.9629571231840892,1.5285468256203316,5
4,2,3,3,1,0.41719793300885005,0.16615932247815016,3
4,1,3,1,1,-1.232999497018049,0.29776056979986437,2
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,1
5,2,5,5,1,1.733443994800189,1.6412556377190206,6
2,3,4,1,2,-0.43452938953045933,0.6738571857100194,3
4,2,1,3,4,2.5065987668814116,-2.3155052945380774,3
3,2,3,3,1,-0.029578384499605922,-0.23561097400155678,4
2,1,5,2,2,-1.1617913663304256,0.5026947648746626,2
4,2,4,3,2,0.9472238265719438,0.6379711011317803,3
5,2,2,4,2,2.1283289081318095,-0.7618555647942018,4
3,2,2,2,2,0.16557726755870242,-1.079882195323932,3
3,1,2,2,1,-1.045311681111751,-1.1261866984901079,3
2,1,2,1,2,-1.396796977198555,-1.5928082256967662,3
5,5,5,2,2,2.5025312840777576,3.1236565147456608,5
4,2,4,2,1,-0.2172662004059036,1.1883362942884157,3
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,4
4,5,4,3,2,2.6902190999840556,1.6997092464556887,6
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,2
4,2,3,3,2,1.0470884572085999,-0.14144888946364323,3
3,3,2,1,1,-0.41791433494844105,-0.17560428705932735,2
4,2,3,2,2,0.5124889544305022,0.10130809175119854,3
4,3,3,3,1,0.9981963574795538,0.5200720375861195,3
5,2,4,2,2,0.8594006413023023,1.282498378826329,3
2,2,4,3,2,0.053671191555031805,-0.1655694918276334,3
4,2,2,2,1,-0.017536939132591464,-0.37050368690243163,3
3,1,3,3,2,0.019313715229440104,-0.8971319010513196,3
3,1,4,1,2,-1.149749920963411,0.36780205197378774,2
5,2,2,2,2,1.0591299025756145,-0.27634160236451816,3
4,1,4,1,1,-1.3328641276547049,1.077180560395288,2
4,2,4,4,2,1.4818233293500414,0.3952141199169387,3
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,2
3,3,2,3,1,0.651284670607754,-0.6611182494890109,4
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,2
4,4,4,4,2,2.643820178291449,1.1030395501328776,5
3,1,1,2,2,-0.3155565262753454,-2.2132149010273245,2
4,2,5,2,1,-0.3171308310425597,1.9677562848838392,2
1,2,3,2,2,-0.8278399980948656,-1.104002797687922,3
5,1,1,1,1,-0.5864939182362807,-0.8593091149112757,1
4,4,4,2,2,1.5746211727352541,1.5885535125625612,2
4,4,5,1,1,0.3102665151207505,2.9183386963146196,2
2,4,3,2,2,0.7809331683549983,0.005592929007723445,5
4,1,2,3,3,1.195845187574302,-1.5823898071088294,2
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,3
5,2,2,4,2,2.1283289081318095,-0.7618555647942018,4
3,2,1,2,2,0.26544189819535846,-1.8593021859193553,3
4,3,3,3,1,0.9981963574795538,0.5200720375861195,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,3
3,1,4,2,2,-0.6151504181853135,0.12504507075894594,1
4,3,4,3,3,2.1581127752423974,0.6842756042979564,3
4,2,4,2,2,0.41262432379384617,0.8807280823466221,3
5,1,4,2,2,0.2784022168315983,0.9285856637183597,2
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,1
4,4,2,4,3,3.4734399637645113,-0.7634086429997631,6
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,2
3,2,5,1,1,-1.298506651329113,1.808742969618974,2
4,3,3,4,4,3.422467432856901,-0.6455095794541024,4
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,2
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,2
5,2,5,2,2,0.7595360106656462,2.0619183694217527,3
3,1,5,3,3,0.44947497815587767,0.35409986819773437,2
3,2,5,1,2,-0.6686161271293634,1.5011347576771807,3
2,2,2,4,3,1.4178904798061913,-2.274774666175116,2
4,2,2,5,2,2.216152093401451,-1.4063828424887503,4
3,1,3,2,1,-1.145176311748407,-0.34676670789468433,2
3,3,4,3,2,1.081445933534192,0.5901135197600429,5
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,3
2,1,4,2,1,-1.691817259893519,0.03088298622103243,2
5,5,2,5,5,6.295595256921268,-0.8656990365105156,7
4,2,4,1,1,-0.7518657031840011,1.4310932755032573,2
4,3,3,5,2,2.697285887235499,-0.27305013678535733,5
4,2,3,1,1,-0.6520010725473451,0.6516732849078336,3
3,2,4,3,3,1.1303380332632378,-0.0714074072897198,3
5,3,4,3,2,1.9749985685511038,1.3936541127194568,5
2,2,3,1,1,-1.545553707564257,-0.15186730805158016,2
4,2,4,2,3,1.0425148479935962,0.5731198704048288,3
